"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-17","13.65",,"0.00","0.0","0.0","53","63","47","  280","  280","28.0","36.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-18","14.76",,"0.00","0.0","0.0","49","53","38","  320","  310","25.9","35.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-19","16.33",,"0.00","0.0","0.0","41","48","35","  300","  270","30.0","36.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-20","14.76",,"0.03","0.0","0.0","45","53","34","  330","  300","33.1","42.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-21","19.24",,"0.00","0.0","0.0","37","44","30","  320","  320","32.0","42.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-22","9.62",,"0.00","0.0","0.0","34","41","28","  330","  320","21.9","27.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-23","16.78",,"3.13","0.0","0.0","45","52","35","  340","  340","38.0","55.0","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-24","15.88",,"0.00","0.0","0.0","38","46","31","  350","  340","32.0","40.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-25","12.75",,"0.00","0.0","0.0","41","52","34","   50","   40","23.9","31.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-26","10.07",,"0.00","0.0","0.0","43","49","38","   50","   40","21.0","28.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-27","5.37",,"0.11","0.0","0.0","44","50","40","  120","  110","16.1","19.0","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-28","10.29",,"0.96","0.0","0.0","47","49","44","  340","  340","21.0","28.0","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-29","19.91",,"0.00","0.0","0.0","47","57","42","  310","  290","33.1","45.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-30","16.55",,"0.02","0.0","0.0","48","61","41","  300","  290","25.1","38.0","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-03-31","10.74",,"0.00","0.0","0.0","54","62","45","  260","  320","21.0","30.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-01",,,"0.01","0.0","0.0","51","53","44",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-02",,,"1.02","0.0","0.0","46","48","42",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-03",,,"1.22","0.0","0.0","43","45","41",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-04",,,"0.21","0.0","0.0","43","52","37",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-05",,,"0.00","0.0","0.0","44","50","38",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-06",,,"0.00","0.0","0.0","46","55","42",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-07",,,"0.00","0.0","0.0","48","58","41",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-08",,,"0.00","0.0","0.0","49","63","40",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-09",,,"0.00","0.0","0.0","56","69","45",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-10",,,"0.00","0.0","0.0","54","69","50",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-11",,,"0.05","0.0","0.0","53","59","50",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-12",,,"0.20","0.0","0.0","56","63","53",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-13",,,"0.00","0.0","0.0","53","55","47",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-14",,,"0.01","0.0","0.0","54","65","43",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-15",,,"0.00","0.0","0.0","62","77","52",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-16",,,"0.00","0.0","0.0","61","72","50",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-17",,,"0.06","0.0","0.0","53","57","46",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-18",,,"0.12","0.0","0.0","48","49","45",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-19",,,"0.00","0.0","0.0","48","55","44",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-20",,,"0.17","0.0","0.0","53","67","47",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-21",,,"0.00","0.0","0.0","49","53","41",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-22",,,"0.00","0.0","0.0","51","62","42",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-23",,,"0.00","0.0","0.0","50","57","41",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-24",,,"0.02","0.0","0.0","55","68","49",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-25",,,"0.00","0.0","0.0","50","53","42",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-26",,,"0.00","0.0","0.0","47","55","37",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-27",,,"0.00","0.0","0.0","49","56","42",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-28",,,"0.03","0.0","0.0","56","68","50",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-29",,,"0.00","0.0","0.0","67","82","58",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-04-30","9.84",,"0.00","0.0","0.0","60","67","52","   20","   10","17.0","21.0","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-01","8.28",,"0.00","0.0","0.0","58","71","51","  150","  160","17.0","21.0","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-02","8.72",,"0.00","0.0","0.0","56","66","50","   60","   50","17.0","23.9","    1",,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-03","8.28",,"0.00","0.0","0.0","58","63","49","  130","  120","18.1","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-04","9.62",,"0.00","0.0","0.0","53","61","48","  130","  130","18.1","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-05","10.29",,"0.22","0.0","0.0","51","54","49","  110","  120","18.1","23.9","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-06","5.82",,"0.05","0.0","0.0","59","71","54","  190","  210","12.1","14.1","    1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-07","8.72",,"0.00","0.0","0.0","65","77","57","  180","   10","16.1","21.0","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-08","11.18",,"0.06","0.0","0.0","65","80","58","  350","  340","25.1","34.0","    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-09","10.51",,"0.00","0.0","0.0","68","71","54","  110","  100","19.9","25.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-10","10.29",,"0.29","0.0","0.0","53","55","49","  100","  100","21.0","31.1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-11","11.18",,"0.00","0.0","0.0","52","60","47","  150","  130","16.1","21.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-12","8.95",,"0.05","0.0","0.0","51","55","49","  250","  240","14.1","19.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-13","10.74",,"0.00","0.0","0.0","54","64","48","  220","  220","17.0","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-14","9.62",,"0.01","0.0","0.0","59","67","53","  190","  190","18.1","25.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-15","11.41",,"0.26","0.0","0.0","60","66","58","   30","   30","25.9","38.9","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-16","19.46",,"0.07","0.0","0.0","62","68","59","   40","   30","32.0","42.1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-17","9.62",,"0.00","0.0","0.0","65","73","58","   50","   60","21.9","27.1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-18","6.04",,"0.03","0.0","0.0","63","71","59","   50","   40","14.1","18.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-19","9.17",,"0.00","0.0","0.0","63","74","53","   20","   50","19.9","27.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-20","6.71",,"0.00","0.0","0.0","60","68","53","  180","  180","13.0","17.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-21","7.38",,"0.00","0.0","0.0","63","72","56","  190","  190","18.1","23.9","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-22","11.18",,"0.00","0.0","0.0","67","76","60","  180","  170","25.9","36.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-23","7.38",,"0.55","0.0","0.0","68","79","62","  260","  260","21.0","27.1","    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-24","8.50",,"0.00","0.0","0.0","73","85","59","  190","  190","18.1","23.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-25","6.71",,"0.00","0.0","0.0","69","77","60","  120","  120","13.0","17.0","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-26","7.16",,"0.00","0.0","0.0","67","76","63","  150","  150","14.1","19.0","    1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-27","12.08",,"0.58","0.0","0.0","68","76","65","  160","  160","31.1","46.1","    1","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-28","12.30",,"0.00","0.0","0.0","72","82","63","  330","  330","28.0","35.1","    1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-29","10.29",,"0.31","0.0","0.0","70","76","62","  300","  300","23.9","32.0","    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-30","10.96",,"0.14","0.0","0.0","65","73","58","  330","  330","21.9","31.1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-05-31","12.08",,"0.00","0.0","0.0","68","78","60","  320","  310","21.0","32.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-01","10.51",,"0.00","0.0","0.0","72","82","62","  210","  210","19.9","25.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-02","8.72",,"0.00","0.0","0.0","71","79","62","  190","  180","18.1","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-03","6.04",,"0.02","0.0","0.0","74","84","66","  190","  220","14.1","18.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-04","6.93",,"0.00","0.0","0.0","70","78","64","  140","  140","15.0","17.0","    1","    1",,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-05","8.50",,"0.04","0.0","0.0","70","78","63","  170","  180","16.1","23.9","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-06","8.72",,"0.58","0.0","0.0","74","84","69","  330","  320","25.1","36.9","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-07","9.62",,"0.00","0.0","0.0","76","83","67","  340","  320","29.1","40.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-08","13.87",,"0.00","0.0","0.0","73","81","65","  270","  280","23.0","32.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-09","12.97",,"0.00","0.0","0.0","71","78","65","  350","  350","25.9","33.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-10","12.53",,"0.00","0.0","0.0","70","77","63","  240","  330","21.0","29.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-11","8.28",,"0.00","0.0","0.0","67","72","60","  360","  360","14.1","17.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-12","9.62",,"0.00","0.0","0.0","68","74","62","  210","  210","16.1","16.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-13","10.07",,"0.00","0.0","0.0","70","78","63","  190","  190","21.0","28.0",,,,,,
